,WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm),WindDirecValid
0,48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897,97.97578,2025-06-14 07:00:00,1005.68,25.9,35.7,0.2,25.3,0.2,93,0.0,0.0,12.3,True
1,48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16667,97.93333,2025-06-14 07:00:00,1005.73,25.0,33.0,-1.0,24.5,-0.1,96,0.0,0.0,8.3,True
2,48303,เชียงราย,CHIANG RAI,เชียงราย,19.96139,99.88139,2025-06-14 07:00:00,1004.64,26.4,33.9,0.0,25.7,1.7,86,190.0,3.0,0.0,True
3,48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083,99.78278,2025-06-14 07:00:00,1004.57,26.5,32.6,-1.0,24.5,1.9,87,160.0,4.0,0.0,True
4,48310,พะเยา,PHAYAO,พะเยา,19.13333,99.9,2025-06-14 07:00:00,1004.75,26.0,32.0,-2.3,24.7,0.2,92,0.0,0.0,16.2,True
5,48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93139,99.04833,2025-06-14 07:00:00,1005.02,19.2,21.9,0.3,17.8,0.6,96,0.0,0.0,24.0,True
6,48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.79,98.97694,2025-06-14 07:00:00,1005.27,25.9,35.8,1.3,25.2,0.1,93,310.0,2.0,6.5,True
7,48328,ลำปาง,LAMPANG,ลำปาง,18.28333,99.51667,2025-06-14 07:00:00,1006.0,25.6,37.0,2.6,25.3,-0.2,97,0.0,0.0,5.0,True
8,48324,เถิน,THOEN,ลำปาง,17.63661,99.24475,2025-06-14 07:00:00,1005.61,25.1,36.5,1.5,24.8,0.0,97,0.0,0.0,5.1,True
9,48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31667,99.28333,2025-06-14 07:00:00,1005.77,24.7,34.2,1.2,24.7,0.0,94,0.0,0.0,0.0,True
10,48329,ลำพูน,LAMPHUN,ลำพูน,18.56722,99.03389,2025-06-14 07:00:00,1005.16,26.4,35.0,0.1,25.5,0.3,96,120.0,5.0,1.8,True
11,48330,แพร่,PHRAE,แพร่,18.16667,100.16667,2025-06-14 07:00:00,1005.54,26.2,34.1,-0.4,25.8,0.7,99,0.0,0.0,0.1,True
12,48331,น่าน,NAN,น่าน,18.77972,100.77778,2025-06-14 07:00:00,1004.93,26.4,31.7,-3.3,26.0,0.7,97,0.0,0.0,0.0,True
13,48333,น่าน สกษ.,NAN AGROMET.,น่าน,18.86667,100.75,2025-06-14 07:00:00,1005.11,26.0,31.5,-2.5,25.5,0.0,95,0.0,0.0,0.0,True
14,48315,ท่าวังผา,THA WANGPHA,น่าน,19.11056,100.8025,2025-06-14 07:00:00,1005.49,26.6,34.9,-1.1,26.1,1.1,90,0.0,0.0,0.0,True
15,48307,ทุ่งช้าง,THUNG CHANG,น่าน,19.41194,100.88353,2025-06-14 07:00:00,1005.51,26.1,33.5,0.0,24.5,0.1,95,0.0,0.0,0.0,True
16,48351,อุตรดิตถ์,UTTARADIT,อุตรดิตถ์,17.61667,100.1,2025-06-14 07:00:00,1005.29,27.0,36.5,1.3,26.5,0.0,93,0.0,0.0,4.7,True
17,48352,หนองคาย,NONG KHAI,หนองคาย,17.86717,102.73303,2025-06-14 07:00:00,1004.71,25.9,34.5,0.0,25.0,-1.5,93,160.0,3.0,6.0,True
18,48353,เลย,LOEI,เลย,17.45,101.73333,2025-06-14 07:00:00,1005.79,26.2,34.0,-1.6,25.7,0.2,90,130.0,3.0,0.0,True
19,48350,เลย สกษ.,LOEI AGROMET.,เลย,17.4,101.73333,2025-06-14 07:00:00,1005.31,25.3,33.1,-1.9,25.1,0.3,97,0.0,0.0,0.0,True
20,48354,อุดรธานี,UDON THANI,อุดรธานี,17.38333,102.8,2025-06-14 07:00:00,1005.8,25.8,33.0,-0.4,25.6,-0.4,97,170.0,3.0,8.0,True
21,48356,สกลนคร,SAKON NAKHON,สกลนคร,17.15,104.13333,2025-06-14 07:00:00,1005.37,26.0,28.7,-4.5,25.2,1.3,98,150.0,2.0,85.4,True
22,48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,17.12503,104.061,2025-06-14 07:00:00,1005.71,25.9,28.5,-4.5,24.9,1.4,93,180.0,6.0,83.3,True
23,48357,นครพนม,NAKHON PHANOM,นครพนม,17.41083,104.7825,2025-06-14 07:00:00,1006.45,25.3,27.4,-3.6,23.5,0.4,97,0.0,0.0,25.6,True
24,48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,17.44306,104.77361,2025-06-14 07:00:00,1006.49,25.0,27.5,-3.4,22.5,-0.2,96,0.0,0.0,26.0,True
25,48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,17.2325,102.42944,2025-06-14 07:00:00,1005.02,26.8,33.0,-0.6,26.5,0.2,92,0.0,0.0,0.2,True
