WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897,97.97578,2025-06-11 07:00:00,1005.39,26.2,36.3,-0.4,24.5,-1.0,92,0.0,0.0,8.7
48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16667,97.93333,2025-06-11 07:00:00,1005.77,26.0,33.5,0.5,25.5,1.0,92,0.0,0.0,2.1
48303,เชียงราย,CHIANG RAI,เชียงราย,19.96139,99.88139,2025-06-11 07:00:00,1005.91,24.0,31.0,-4.7,23.2,-0.6,96,40.0,4.0,60.9
48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083,99.78278,2025-06-11 07:00:00,1005.69,24.0,30.8,-3.4,22.9,-0.2,96,110.0,3.0,5.2
48310,พะเยา,PHAYAO,พะเยา,19.13333,99.9,2025-06-11 07:00:00,1006.41,24.7,31.8,-3.7,23.4,-0.1,94,0.0,0.0,30.9
48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93139,99.04833,2025-06-11 07:00:00,1006.01,18.0,20.4,-2.6,17.5,-0.1,100,0.0,0.0,33.2
48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.79,98.97694,2025-06-11 07:00:00,1005.57,25.1,35.2,-1.3,24.3,-0.9,94,250.0,1.0,37.5
48328,ลำปาง,LAMPANG,ลำปาง,18.28333,99.51667,2025-06-11 07:00:00,1005.61,24.8,33.6,-3.4,24.5,-1.6,97,0.0,0.0,4.3
48324,เถิน,THOEN,ลำปาง,17.63661,99.24475,2025-06-11 07:00:00,1004.84,25.5,34.8,-1.2,25.0,-0.5,97,0.0,0.0,7.2
48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31667,99.28333,2025-06-11 07:00:00,1005.38,24.5,33.0,-2.0,23.5,-2.0,96,0.0,0.0,51.2
48329,ลำพูน,LAMPHUN,ลำพูน,18.56722,99.03389,2025-06-11 07:00:00,1005.96,25.4,34.8,-1.0,24.7,-0.4,96,0.0,0.0,18.8
48330,แพร่,PHRAE,แพร่,18.16667,100.16667,2025-06-11 07:00:00,1005.04,25.5,33.9,-0.9,24.9,-0.9,99,0.0,0.0,4.3
