WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,Observation
48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,"{'@Unit': 'decimal degree', '#text': '19.29897'}","{'@Unit': 'decimal degree', '#text': '97.97578'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.39'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '36.3'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.4'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '8.70'}}"
48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,"{'@Unit': 'decimal degree', '#text': '18.16667'}","{'@Unit': 'decimal degree', '#text': '97.93333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.77'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.10'}}"
48303,เชียงราย,CHIANG RAI,เชียงราย,"{'@Unit': 'decimal degree', '#text': '19.96139'}","{'@Unit': 'decimal degree', '#text': '99.88139'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.91'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '31.0'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-4.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '040'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '4'}, 'Rainfall': {'@Unit': 'mm', '#text': '60.90'}}"
48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,"{'@Unit': 'decimal degree', '#text': '19.87083'}","{'@Unit': 'decimal degree', '#text': '99.78278'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.69'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '30.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.4'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '22.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.2'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '110'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '3'}, 'Rainfall': {'@Unit': 'mm', '#text': '5.20'}}"
48310,พะเยา,PHAYAO,พะเยา,"{'@Unit': 'decimal degree', '#text': '19.13333'}","{'@Unit': 'decimal degree', '#text': '99.90000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.41'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.7'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '31.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.4'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '30.90'}}"
48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,"{'@Unit': 'decimal degree', '#text': '19.93139'}","{'@Unit': 'decimal degree', '#text': '99.04833'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.01'}, 'Temperature': {'@Unit': 'celcius', '#text': '18.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '20.4'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-2.6'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '17.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '100'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '33.20'}}"
48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,"{'@Unit': 'decimal degree', '#text': '18.79000'}","{'@Unit': 'decimal degree', '#text': '98.97694'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.57'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.1'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.3'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.3'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '250'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '1'}, 'Rainfall': {'@Unit': 'mm', '#text': '37.50'}}"
48328,ลำปาง,LAMPANG,ลำปาง,"{'@Unit': 'decimal degree', '#text': '18.28333'}","{'@Unit': 'decimal degree', '#text': '99.51667'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.61'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.8'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.6'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.4'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '97'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '4.30'}}"
48324,เถิน,THOEN,ลำปาง,"{'@Unit': 'decimal degree', '#text': '17.63661'}","{'@Unit': 'decimal degree', '#text': '99.24475'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.84'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.5'}, 'RelativeHumidity': {'@Unit': '%', '#text': '97'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '7.20'}}"
48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,"{'@Unit': 'decimal degree', '#text': '18.31667'}","{'@Unit': 'decimal degree', '#text': '99.28333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.38'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.0'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-2.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-2.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '51.20'}}"
